,movieId,title,details
0,1,Toy Story ,"Adventure|Animation|Children|Comedy|Fantasy,1995,pixar, Adventure|Animation|Children|Comedy|Fantasy,1995,pixar, Adventure|Animation|Children|Comedy|Fantasy,1995,fun"
1,2,Jumanji ,"Adventure|Children|Fantasy,1995,fantasy, Adventure|Children|Fantasy,1995,magic board game, Adventure|Children|Fantasy,1995,Robin Williams, Adventure|Children|Fantasy,1995,game"
2,3,Grumpier Old Men ,"Comedy|Romance,1995,moldy, Comedy|Romance,1995,old"
3,4,Waiting to Exhale ,"Comedy|Drama|Romance,1995,nan"
4,5,Father of the Bride Part II ,"Comedy,1995,pregnancy, Comedy,1995,remake"
5,6,Heat ,"Action|Crime|Thriller,1995,nan"
6,7,Sabrina ,"Comedy|Romance,1995,remake"
7,8,Tom and Huck ,"Adventure|Children,1995,nan"
8,9,Sudden Death ,"Action,1995,nan"
9,10,GoldenEye ,"Action|Adventure|Thriller,1995,nan"
10,11,"American President, The ","Comedy|Drama|Romance,1995,politics, Comedy|Drama|Romance,1995,president"
11,12,Dracula: Dead and Loving It ,"Comedy|Horror,1995,nan"
12,13,Balto ,"Adventure|Animation|Children,1995,nan"
13,14,Nixon ,"Drama,1995,politics, Drama,1995,president"
14,15,Cutthroat Island ,"Action|Adventure|Romance,1995,nan"
15,16,Casino ,"Crime|Drama,1995,Mafia"
16,17,Sense and Sensibility ,"Drama|Romance,1995,Jane Austen"
17,18,Four Rooms ,"Comedy,1995,nan"
18,19,Ace Ventura: When Nature Calls ,"Comedy,1995,nan"
19,20,Money Train ,"Action|Comedy|Crime|Drama|Thriller,1995,nan"
20,21,Get Shorty ,"Comedy|Crime|Thriller,1995,Hollywood"
21,22,Copycat ,"Crime|Drama|Horror|Mystery|Thriller,1995,serial killer"
22,23,Assassins ,"Action|Crime|Thriller,1995,nan"
23,24,Powder ,"Drama|Sci-Fi,1995,nan"
24,25,Leaving Las Vegas ,"Drama|Romance,1995,alcoholism"
25,26,Othello ,"Drama,1995,Shakespeare"
26,27,Now and Then ,"Children|Drama,1995,nan"
27,28,Persuasion ,"Drama|Romance,1995,In Netflix queue, Drama|Romance,1995,Jane Austen"
28,29,"City of Lost Children, The ","Adventure|Drama|Fantasy|Mystery|Sci-Fi,Cité des enfants perdus, La (1995,kidnapping"
29,30,Shanghai Triad ,"Crime|Drama,Yao a yao yao dao waipo qiao (1995,nan"
30,31,Dangerous Minds ,"Drama,1995,high school, Drama,1995,teacher"
31,32,Twelve Monkeys ,"Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,time travel, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,time travel, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,Brad Pitt, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,Bruce Willis, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,mindfuck, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,Post apocalyptic, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,post-apocalyptic, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,remake, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,time travel, Mystery|Sci-Fi|Thriller,a.k.a. 12 Monkeys (1995,twist ending"
32,34,Babe ,"Children|Drama,1995,Animal movie, Children|Drama,1995,pigs, Children|Drama,1995,villain nonexistent or not needed for good story"
33,36,Dead Man Walking ,"Crime|Drama,1995,death penalty, Crime|Drama,1995,Nun"
34,38,It Takes Two ,"Children|Comedy,1995,twins"
35,39,Clueless ,"Comedy|Romance,1995,chick flick, Comedy|Romance,1995,funny, Comedy|Romance,1995,Paul Rudd, Comedy|Romance,1995,quotable, Comedy|Romance,1995,seen more than once, Comedy|Romance,1995,Emma, Comedy|Romance,1995,Jane Austen"
36,40,"Cry, the Beloved Country ","Drama,1995,In Netflix queue, Drama,1995,South Africa"
37,41,Richard III ,"Drama|War,1995,Shakespeare"
38,42,Dead Presidents ,"Action|Crime|Drama,1995,nan"
39,43,Restoration ,"Drama,1995,England"
40,44,Mortal Kombat ,"Action|Adventure|Fantasy,1995,nan"
41,45,To Die For ,"Comedy|Drama|Thriller,1995,Journalism"
42,46,How to Make an American Quilt ,"Drama|Romance,1995,wedding"
43,47,Seven ,"Mystery|Thriller,a.k.a. Se7en (1995,mystery, Mystery|Thriller,a.k.a. Se7en (1995,twist ending, Mystery|Thriller,a.k.a. Se7en (1995,serial killer"
44,48,Pocahontas ,"Animation|Children|Drama|Musical|Romance,1995,nan"
45,49,When Night Is Falling ,"Drama|Romance,1995,nan"
